City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
General Bravo,100,MX,1584214958,35,25.8,-99.17,91.35,15.28
Marsá Maţrūḩ,100,EG,1584214761,87,31.35,27.25,59.0,6.93
Bilibino,100,RU,1584214962,80,68.05,166.44,-11.61,4.76
Ushuaia,20,AR,1584214763,50,-54.8,-68.3,57.2,9.17
Rundu,73,NA,1584214966,94,-17.93,19.77,73.4,2.24
Jerantut,82,MY,1584214969,99,3.94,102.36,72.23,1.25
Mankāpur,0,IN,1584214971,85,27.03,82.23,63.45,6.17
Vaini,75,TO,1584214973,88,-21.2,-175.2,80.6,10.29
Cidreira,0,BR,1584214975,83,-30.18,-50.21,76.95,16.89
Pasco,40,US,1584214977,52,28.29,-82.42,89.01,8.05
Longyearbyen,40,SJ,1584214980,49,78.22,15.64,-0.4,14.99
San Cristobal,75,VE,1584214776,62,7.77,-72.22,84.2,2.24
Hobart,75,AU,1584214818,81,-42.88,147.33,52.0,5.82
Mossamedes,100,AO,1584214742,75,-15.2,12.15,76.23,4.09
Hvide Sande,65,DK,1584214988,76,56.0,8.13,39.2,12.75
Paptalaya,40,HN,1584214990,74,15.5,-84.32,84.2,9.17
Saint Paul Harbor,1,US,1584214992,68,57.79,-152.41,28.4,6.93
Nisibis,90,TR,1584214995,81,37.08,41.22,51.8,5.82
Tasiilaq,20,GL,1584214997,60,65.61,-37.64,8.6,7.65
Hilo,90,US,1584214999,83,19.73,-155.09,73.4,3.36
Kyritz,0,DE,1584215001,36,52.94,12.4,39.0,1.01
Zhireken,4,RU,1584215003,84,52.82,117.31,-1.35,3.49
Mahébourg,40,MU,1584215005,94,-20.41,57.7,77.0,1.12
São Raimundo das Mangabeiras,90,BR,1584215007,81,-7.02,-45.48,79.83,2.91
Palmer,90,US,1584215010,39,42.16,-72.33,53.01,21.92
Bethel,1,US,1584215012,34,41.37,-73.41,55.4,9.17
Berlevåg,93,NO,1584215014,74,70.86,29.09,22.05,28.68
Avera,75,US,1584214795,54,33.19,-82.53,80.6,3.36
Genhe,0,CN,1584215018,92,50.78,121.52,-12.33,3.65
Ilebo,100,CD,1584215021,89,-4.32,20.58,72.63,1.61
Iqaluit,5,CA,1584215023,62,63.75,-68.51,-16.01,16.11
Jacqueville,20,CI,1584215025,88,5.21,-4.41,80.6,4.7
Upernavik,100,GL,1584215027,97,72.79,-56.15,-10.21,3.56
Ugoofaaru,49,MV,1584215029,73,5.67,73.0,83.79,7.72
Havøysund,100,NO,1584215031,67,71.0,24.66,19.4,21.92
Severo-Kuril'sk,5,RU,1584215033,81,50.68,156.12,13.01,4.18
Quatre Cocos,40,MU,1584215036,94,-20.21,57.76,77.0,1.12
Valparaíso,0,CL,1584215038,39,-33.04,-71.63,78.8,12.75
Goderich,100,CA,1584215040,79,43.75,-81.72,33.01,11.01
Saldanha,0,ZA,1584215042,82,-33.01,17.94,66.2,12.75
Provideniya,100,RU,1584215044,81,64.38,-173.3,19.89,5.12
Arraial do Cabo,40,BR,1584215046,78,-22.97,-42.03,82.4,12.75
Nelson Bay,75,AU,1584215048,72,-32.72,152.15,64.99,17.22
Beloeil,1,CA,1584215051,41,45.57,-73.2,43.0,16.11
Deputatsky,0,RU,1584214780,98,69.3,139.9,-35.91,1.28
Cherskiy,100,RU,1584215055,82,68.75,161.3,-8.73,3.13
Tanakpur,22,IN,1584215057,75,29.08,80.12,57.69,7.9
Chokurdakh,0,RU,1584215059,97,70.63,147.92,-27.99,2.8
Puerto Ayora,20,EC,1584214804,74,-0.74,-90.35,84.2,9.17
Saint-Philippe,75,RE,1584215063,83,-21.36,55.77,78.8,13.87
Lagoa,27,PT,1584215066,78,39.05,-27.98,59.85,9.8
Paita,100,PE,1584215068,100,-5.09,-81.11,62.6,12.75
Sehithwa,67,BW,1584215070,58,-20.47,22.72,77.09,4.85
San Buenaventura,40,MX,1584215072,48,27.08,-101.53,87.01,9.17
Hasaki,96,JP,1584215075,100,35.73,140.83,33.8,2.24
East London,51,ZA,1584215077,78,-33.02,27.91,73.89,8.93
Busselton,98,AU,1584215079,98,-33.65,115.33,66.0,10.11
Nikolskoye,20,RU,1584214797,39,59.7,30.79,28.4,24.61
Barrow,90,US,1584215083,85,71.29,-156.79,19.4,27.51
Avarua,37,CK,1584215085,74,-21.21,-159.78,84.2,5.82
Geraldton,40,AU,1584214818,88,-28.77,114.6,73.4,10.29
Albany,75,US,1584214983,59,42.6,-73.97,46.99,16.11
Leh,74,IN,1584215092,61,34.17,77.58,11.43,1.95
Port Alfred,100,ZA,1584215094,88,-33.59,26.89,68.0,3.0
Campbell River,5,CA,1584214960,22,50.02,-125.24,37.4,10.29
Ponta do Sol,75,PT,1584215098,67,32.67,-17.1,60.8,11.41
Katiola,20,CI,1584215100,49,8.13,-5.1,89.6,4.7
Tromsø,90,NO,1584215102,79,69.65,18.96,24.8,4.7
Nagato,40,JP,1584215104,49,34.38,131.2,48.2,16.11
Vostochnyy,90,RU,1584215107,92,55.82,37.87,30.2,17.9
Yellowknife,75,CA,1584215109,54,62.46,-114.35,3.99,12.75
Sisauli,0,IN,1584215111,86,29.42,77.47,53.91,2.28
Sovetskiy,54,RU,1584215113,83,61.36,63.58,31.41,9.78
Henties Bay,0,NA,1584215115,92,-22.12,14.28,64.0,4.0
Port Lincoln,99,AU,1584215118,76,-34.73,135.87,60.21,15.39
Qui Nhon,98,VN,1584215120,90,13.77,109.23,71.55,3.44
Pitimbu,20,BR,1584215122,74,-7.47,-34.81,84.2,11.41
La Paz,75,BO,1584214977,62,-16.5,-68.15,53.6,5.82
Labuhan,89,ID,1584215082,92,-6.88,112.21,75.69,2.42
Kitale,100,KE,1584215128,85,1.02,35.01,62.01,2.26
Dingle,70,PH,1584215131,90,11.0,122.67,71.33,6.15
Kavaratti,0,IN,1584215133,69,10.57,72.64,82.35,9.62
Katsuura,75,JP,1584215135,75,35.13,140.3,42.01,5.82
Ati,0,TD,1584215137,11,13.22,18.34,74.61,12.62
Mérida,75,MX,1584214913,38,20.97,-89.62,91.99,11.41
Lingyuan,0,CN,1584215142,73,41.24,119.4,29.25,7.31
Banda Aceh,39,ID,1584215144,90,5.56,95.32,74.93,2.77
Mogadishu,92,SO,1584215146,83,2.04,45.34,82.67,20.4
La Santisima Trinidad,75,BO,1584215148,66,-14.83,-64.9,87.8,3.36
Jamestown,40,US,1584215151,59,42.1,-79.24,41.0,6.93
Sergeevka,100,KZ,1584215153,95,53.88,67.42,33.21,11.34
Luganville,90,VU,1584215155,94,-15.53,167.17,78.8,6.93
Antalaha,100,MG,1584215157,90,-14.9,50.28,79.11,57.18
Kaitangata,100,NZ,1584215159,78,-46.28,169.85,57.0,16.71
Port Elizabeth,20,ZA,1584215162,88,-33.92,25.57,66.2,12.75
Krutinka,54,RU,1584215164,90,56.01,71.51,31.23,15.43
Clyde River,5,CA,1584215166,61,70.47,-68.59,-18.4,3.36
Urucará,100,BR,1584215011,93,-2.54,-57.76,79.29,2.15
Morro Bay,90,US,1584215170,67,35.37,-120.85,59.0,12.75
Nantucket,1,US,1584215173,71,41.28,-70.1,53.6,23.04
Lima,100,PE,1584214877,65,-12.04,-77.03,80.6,11.41
Saint Anthony,40,US,1584215177,50,45.02,-93.22,34.0,6.93
Ribeira Grande,40,PT,1584215179,68,38.52,-28.7,64.4,12.75
Qaanaaq,0,GL,1584215181,61,77.48,-69.36,-20.25,5.26
Kutum,33,SD,1584215184,23,14.2,24.67,60.39,5.12
Olafsvik,63,IS,1584215186,70,64.89,-23.71,26.19,12.1
Hollola,3,FI,1584215188,65,61.05,25.43,21.99,3.0
Castro,0,BR,1584215182,64,-24.79,-50.01,72.05,1.92
Butaritari,100,KI,1584215192,70,3.07,172.79,83.61,9.13
Pisco,100,PE,1584215194,30,-13.7,-76.22,77.0,12.75
Hermagor,94,AT,1584215197,91,46.63,13.37,48.99,3.83
Tuatapere,100,NZ,1584215199,87,-46.13,167.68,52.0,1.01
‘Āhuimanu,40,US,1584214953,61,21.44,-157.84,78.8,6.93
Kumul,60,CN,1584215203,31,42.8,93.45,35.91,4.12
Armidale,27,AU,1584215205,64,-30.52,151.65,50.0,4.0
Talnakh,75,RU,1584215194,97,69.49,88.4,32.0,22.37
Belen,75,TR,1584215210,100,36.49,36.22,63.0,3.36
Skovorodino,0,RU,1584215212,88,53.98,123.92,-18.81,2.71
Carnarvon,75,AU,1584215214,83,-24.87,113.63,77.0,10.29
Apt,0,FR,1584215216,33,43.88,5.4,57.99,16.11
Yangi Marg`ilon,0,UZ,1584215218,65,40.43,71.72,50.0,6.93
Sihorā,6,IN,1584215221,34,23.48,80.12,65.79,3.51
Kahului,75,US,1584215223,94,20.89,-156.47,78.8,10.29
Beian,75,NO,1584215225,59,63.66,9.57,35.01,23.04
Khatanga,100,RU,1584215227,89,71.97,102.5,26.51,12.21
Russell,40,US,1584215229,37,32.35,-85.2,84.99,5.82
Iranshahr,100,IR,1584215232,28,27.2,60.68,71.6,6.93
Batagay-Alyta,0,RU,1584215234,84,67.8,130.41,-29.43,4.16
Port Macquarie,90,AU,1584215236,100,-31.43,152.92,62.6,12.75
Asău,75,RO,1584215238,56,46.43,26.4,45.0,11.41
Hwange,67,ZW,1584215240,88,-18.37,26.5,69.35,2.08
Altus,90,US,1584215243,71,34.64,-99.33,57.2,8.05
Ranong,22,TH,1584215245,86,9.97,98.63,78.39,4.76
Ketchikan,1,US,1584215012,34,55.34,-131.65,37.4,11.41
Poum,90,NC,1584215192,80,-20.23,164.02,84.15,40.96
San Jose,75,US,1584215146,81,37.34,-121.89,57.2,8.05
Padang,83,ID,1584215253,93,-0.95,100.35,68.31,4.54
Tuktoyaktuk,90,CA,1584215256,85,69.45,-133.04,21.2,26.4
Dikson,57,RU,1584215072,99,73.51,80.55,-15.75,11.54
Verkhnyaya Inta,97,RU,1584215260,92,65.98,60.31,4.05,8.63
Nur,0,PL,1584215262,56,52.67,22.32,28.71,8.5
Meulaboh,100,ID,1584215264,73,4.14,96.13,83.43,7.02
South Venice,40,US,1584215267,58,27.05,-82.42,90.0,8.05
Bonnyville,90,CA,1584215269,54,54.27,-110.73,1.4,5.82
Kamakwie,81,SL,1584215271,43,9.5,-12.23,83.79,5.86
Waingapu,100,ID,1584215273,74,-9.66,120.26,82.89,5.26
Orlik,61,RU,1584215275,68,52.52,99.83,8.19,2.89
Hobyo,10,SO,1584215149,79,5.35,48.53,80.01,14.94
Horsham,40,GB,1584215258,87,51.06,-0.33,52.0,8.05
Leningradskiy,14,RU,1584215174,72,69.38,178.42,-7.33,7.61
Zhoucheng,0,CN,1584215284,25,35.91,116.31,43.47,3.91
Balaipungut,0,ID,1584215286,92,1.05,101.28,72.27,2.66
Manali,20,IN,1584215289,74,13.17,80.27,82.0,3.36
Kamojimachō-jōgejima,75,JP,1584215291,70,34.07,134.35,42.8,11.41
Río Gallegos,100,AR,1584215293,39,-51.62,-69.22,64.4,18.34
Mabaruma,100,GY,1584215295,63,8.2,-59.78,83.97,7.31
Huarmey,96,PE,1584215297,53,-10.07,-78.15,81.45,9.46
Bowen,100,AU,1584215299,93,-20.02,148.23,71.01,8.05
Tapes,0,BR,1584215301,38,-30.67,-51.4,90.81,7.29
Concordia,75,AR,1584215304,69,-31.39,-58.02,82.4,16.11
Tucurú,3,GT,1584215306,54,15.3,-90.07,78.39,5.73
Nkoteng,0,CM,1584215308,48,4.52,12.03,76.95,3.49
Jonesboro,90,US,1584215133,93,35.84,-90.7,46.0,9.17
Norman Wells,75,CA,1584215053,66,65.28,-126.83,14.0,5.82
Waynesboro,75,US,1584215241,32,38.07,-78.89,61.0,6.6
Bengkulu,95,ID,1584215178,91,-3.8,102.27,74.61,3.27
Ringebu,100,NO,1584215319,76,61.52,10.17,21.0,5.99
Cabo San Lucas,5,MX,1584215152,54,22.89,-109.91,80.6,13.87
Lafia,86,NG,1584215323,11,8.48,8.52,85.59,4.79
Airai,18,TL,1584215208,83,-8.93,125.41,63.99,2.91
Husavik,40,IS,1584215328,78,66.04,-17.34,15.8,4.7
Merauke,57,ID,1584215330,94,-8.47,140.33,75.51,4.45
Raahe,52,FI,1584215332,78,64.68,24.48,17.6,4.7
Thompson,20,CA,1584215334,45,55.74,-97.86,5.0,3.36
Kruisfontein,42,ZA,1584215336,93,-34.0,24.73,62.19,7.58
Ripiceni,75,RO,1584215338,55,47.95,27.13,37.4,12.75
Hithadhoo,85,MV,1584215308,64,-0.6,73.08,83.07,4.07
Cayenne,75,GF,1584215299,62,4.93,-52.33,86.0,10.29
Changchun,60,CN,1584215223,62,43.88,125.32,24.8,6.71
Itarema,98,BR,1584215347,92,-2.92,-39.92,77.49,4.09
Chui,60,UY,1584215071,86,-33.7,-53.46,74.07,16.78
Faanui,2,PF,1584215351,77,-16.48,-151.75,83.07,15.75
Wanning,100,CN,1584215354,95,18.8,110.4,72.09,6.85
Quimper,90,FR,1584215251,81,48.0,-4.1,51.01,9.17
Whitehorse,20,CA,1584215061,55,60.72,-135.05,23.0,2.24
Markova,98,UA,1584215360,84,48.68,24.41,26.19,7.05
Yerbogachën,100,RU,1584215362,94,61.28,108.01,27.09,9.64
Chimoio,20,MZ,1584215075,83,-19.12,33.48,75.2,2.3
Sangīn,100,AF,1584215367,37,32.07,64.84,55.89,1.86
Yumen,100,CN,1584215120,26,40.28,97.2,35.37,12.53
Kastamonu Province,77,TR,1584215371,83,41.5,33.67,40.59,1.61
Rāvar,100,IR,1584215374,17,31.27,56.81,65.97,13.47
Hambantota,20,LK,1584215376,88,6.12,81.12,78.8,2.24
Mahenge,95,TZ,1584215378,88,-8.68,36.72,73.35,1.21
Grand Gaube,40,MU,1584215243,94,-20.01,57.66,77.0,1.12
Coquimbo,20,CL,1584215238,72,-29.95,-71.34,68.0,14.99
Christchurch,97,NZ,1584215228,93,-43.53,172.63,59.0,1.12
Ţahţā,0,EG,1584215386,67,26.77,31.5,61.83,7.18
Baley,0,RU,1584215389,74,51.6,116.63,0.09,3.51
Sinnamary,70,GF,1584215391,76,5.38,-52.95,80.19,14.2
Talas,20,TR,1584215393,87,38.69,35.55,42.8,6.93
Aktobe,100,KZ,1584215395,75,50.28,57.21,41.0,20.13
Acapulco de Juárez,20,MX,1584215397,70,16.86,-99.89,86.0,8.05
Obzor,75,BG,1584215400,93,42.82,27.88,48.2,9.17
Esperance,75,AU,1584215178,88,-33.87,121.9,64.4,16.11
Tual,100,ID,1584215404,76,-5.67,132.75,81.99,12.39
Brae,100,GB,1584215076,93,60.4,-1.35,44.6,12.75
Gucheng,100,CN,1584215408,24,35.91,111.32,45.27,2.48
Huehuetenango,61,GT,1584215410,37,15.32,-91.47,73.99,1.01
Parrita,20,CR,1584215412,51,9.52,-84.32,86.0,18.34
Camacha,75,PT,1584215166,67,33.08,-16.33,60.8,14.99
Beloha,100,MG,1584215417,82,-25.17,45.05,73.35,11.41
Trincomalee,35,LK,1584215419,96,8.57,81.23,69.57,1.01
Seminole,40,US,1584215421,42,28.71,-81.21,89.01,3.36
Salamanca,0,ES,1584215423,40,40.83,-6.0,53.6,3.36
Lüderitz,0,NA,1584215289,77,-26.65,15.16,68.0,16.11
Kaeo,1,NZ,1584215344,100,-35.1,173.78,59.0,11.48
Rabo de Peixe,20,PT,1584215420,72,37.8,-25.58,60.8,13.87
Faya,5,SA,1584215357,87,18.39,42.45,60.8,11.41
Wanxian,0,CN,1584215434,71,30.8,108.39,51.39,2.28
Carahue,0,CL,1584215436,40,-38.7,-73.17,71.6,11.41
Sitka,1,US,1584215335,59,57.05,-135.33,35.6,4.38
Kharp,77,RU,1584215440,87,66.8,65.81,1.35,4.97
Mayo,90,US,1584215443,26,38.89,-76.51,59.0,6.93
Mount Gambier,90,AU,1584215445,76,-37.83,140.77,53.6,6.93
Sisimiut,91,GL,1584215447,96,66.94,-53.67,-10.53,2.98
Broome,1,US,1584215299,55,42.25,-75.83,46.0,11.41
San Lazaro,20,BZ,1584215451,66,18.04,-88.66,86.0,8.05
Istanbul,20,TR,1584215453,81,41.04,28.98,51.01,11.41
Żurrieq,0,MT,1584215456,87,35.83,14.47,57.99,8.05
Paso de los Toros,99,UY,1584215458,32,-32.82,-56.52,94.77,3.29
Iglino,90,RU,1584215460,99,54.83,56.41,32.0,6.71
Ambāla,50,IN,1584215462,88,30.38,76.78,52.65,1.05
Pevek,54,RU,1584215297,76,69.7,170.31,-10.89,9.19
Tautira,20,PF,1584215461,66,-17.73,-149.15,86.0,3.36
Chemal,100,RU,1584215469,79,51.41,86.0,27.45,8.63
Ugento,5,IT,1584215471,87,39.93,18.16,55.0,3.36
Half Moon Bay,75,US,1584215099,81,37.46,-122.43,55.99,8.05
Izhma,98,RU,1584215475,94,65.01,53.91,12.51,7.4
Jaisalmer,1,IN,1584215477,32,26.91,70.92,68.13,7.85
Wilmington,90,US,1584215479,32,34.23,-77.94,66.99,9.17
San Patricio,40,MX,1584215482,74,19.22,-104.7,86.0,11.41
Fairbanks,90,US,1584214832,78,64.84,-147.72,18.0,3.51
Progreso,75,MX,1584215486,38,21.28,-89.67,93.0,11.41
Port Hardy,5,CA,1584215346,34,50.7,-127.42,35.6,18.34
La Ronge,90,CA,1584215239,59,55.1,-105.28,3.2,4.7
Nara,75,JP,1584215350,65,34.69,135.8,44.6,18.34
Vaitape,0,PF,1584215129,77,-16.52,-151.75,82.85,15.75
Dudinka,75,RU,1584215208,98,69.41,86.18,32.0,22.37
Fortuna,75,US,1584215320,81,40.6,-124.16,46.99,5.82
Matehuala,74,MX,1584215501,20,23.65,-100.65,84.87,2.95
Quelimane,38,MZ,1584215503,82,-17.88,36.89,76.41,1.79
Tiksi,0,RU,1584215505,80,71.69,128.87,-16.11,8.46
Pemba,75,MZ,1584215507,83,-12.97,40.52,80.6,2.24
Westport,1,US,1584215278,28,41.14,-73.36,55.99,14.99
Pryazha,100,RU,1584215236,79,61.69,33.62,23.0,17.9
Alice Springs,90,AU,1584215514,46,-23.7,133.88,71.6,5.82
Conceição do Araguaia,100,BR,1584215404,66,-8.26,-49.26,84.2,4.7
Nanortalik,100,GL,1584215303,72,60.14,-45.24,20.97,9.06
Aksu,7,CN,1584215520,27,41.12,80.26,40.77,5.55
Davila,35,PH,1584215430,85,18.47,120.58,76.05,26.71
Umm Kaddadah,94,SD,1584215525,18,13.6,26.69,70.47,12.35
Turaif,40,SA,1584215527,100,31.67,38.66,51.8,14.99
Kalmunai,43,LK,1584215529,75,7.42,81.82,81.09,10.33
Taunggyi,58,MM,1584215531,40,20.78,97.03,63.63,3.71
Vardø,40,NO,1584215533,67,70.37,31.11,18.63,21.18
Pueblo Nuevo,20,MX,1584215307,15,23.38,-105.38,81.27,7.99
Waddān,65,LY,1584215537,22,29.16,16.14,69.03,6.8
Yulara,0,AU,1584215479,31,-25.24,130.99,77.0,12.75
Severodvinsk,40,RU,1584215542,92,64.56,39.83,21.2,6.71
Koungou,75,YT,1584215544,79,-12.73,45.2,84.2,9.17
Shimoda,75,JP,1584215546,100,34.67,138.95,42.01,3.36
Santa Cruz,40,MA,1584215548,77,30.42,-9.6,62.6,9.17
Kavieng,100,PG,1584215089,71,-2.57,150.8,84.29,8.77
Yerofey Pavlovich,0,RU,1584215552,81,53.97,121.97,-13.77,2.68
São José da Coroa Grande,100,BR,1584215329,74,-8.9,-35.15,82.53,12.24
Batī,96,ET,1584215557,66,11.18,40.02,70.83,3.22
Owando,0,CG,1584215559,66,-0.48,15.9,77.31,2.68
Te Anau,100,NZ,1584215561,69,-45.42,167.72,51.03,2.48
Sur,100,OM,1584215239,32,22.57,59.53,68.67,6.17
Mumbwa,82,ZM,1584215565,95,-14.98,27.06,65.43,2.95
Pierre,90,US,1584215330,79,44.37,-100.35,32.0,19.46
Rivers,75,CA,1584215570,72,50.03,-100.24,12.2,11.41
Glencoe,0,ZA,1584215572,82,-28.18,30.15,60.03,3.98
Forbes,0,AU,1584215384,65,-33.38,148.02,55.99,12.64
Mehamn,100,NO,1584215576,77,71.04,27.85,11.61,15.95
Yinchuan,73,CN,1584215578,26,38.47,106.27,33.21,2.13
Grand-Lahou,100,CI,1584215581,80,5.14,-5.02,84.33,13.78
Codrington,1,AU,1584215289,71,-38.27,141.97,58.95,15.66
Vilcún,0,CL,1584215585,40,-38.65,-72.23,73.0,11.41
Ilulissat,75,GL,1584215587,77,69.22,-51.1,3.2,11.41
Salalah,75,OM,1584215222,61,17.02,54.09,77.0,5.82
Tirlyanskiy,100,RU,1584215591,98,54.21,58.58,28.89,3.02
General Roca,0,AR,1584215593,20,-39.03,-67.58,73.4,8.05
Santa Cruz de la Sierra,40,BO,1584215413,42,-17.8,-63.17,98.6,11.41
Sungai Penuh,55,ID,1584215598,98,-2.08,101.38,62.01,2.15
Makassar,90,ID,1584215477,100,-5.14,119.42,75.2,4.7
Eureka,75,US,1584215602,81,40.8,-124.16,48.0,5.82
Kemijärvi,23,FI,1584215604,87,66.71,27.43,7.83,7.92
Torbay,75,CA,1584215236,81,47.67,-52.73,39.99,21.92
Toamasina,75,MG,1584215608,88,-18.17,49.38,77.0,11.41
Toora-Khem,84,RU,1584215611,84,52.47,96.11,12.69,1.12
Kwang Binh,100,VN,1584215613,96,17.48,106.6,69.39,7.02
Ostrovnoy,100,RU,1584215376,94,68.05,39.51,10.89,13.11
Lodja,28,CD,1584215405,87,-3.48,23.43,72.09,1.48
Havre-St-Pierre,90,CA,1584215619,86,50.23,-63.6,26.6,23.04
Strezhevoy,90,RU,1584215621,97,60.73,77.59,33.8,11.18
Bonavista,68,CA,1584215379,79,48.65,-53.11,37.99,21.99
Litovko,14,RU,1584215626,92,49.24,135.17,4.59,5.12
Lewistown,1,US,1584215628,34,40.6,-77.57,52.0,10.29
Sainte-Thècle,1,CA,1584215630,40,46.82,-72.5,37.4,11.41
Mouzourás,100,GR,1584215632,87,35.53,24.15,60.01,3.6
Red Bluff,90,US,1584215634,70,40.18,-122.24,60.01,10.29
Puri,40,IN,1584215636,65,19.8,85.85,77.0,6.93
Nacala,79,MZ,1584215638,94,-14.54,40.67,74.79,5.46
El Salvador,40,SV,1584215641,51,13.83,-88.92,89.6,5.82
Pallasovka,100,RU,1584215643,73,50.05,46.88,39.33,10.87
Rome,90,US,1584215405,64,43.21,-75.46,39.99,14.99
Freeport,1,US,1584215490,28,40.66,-73.58,57.0,11.41
Omiš,50,HR,1584215649,68,43.44,16.69,57.2,11.41
Mahabalipuram,20,IN,1584215651,74,12.63,80.17,82.0,3.36
Bandarbeyla,53,SO,1584215343,80,9.49,50.81,78.57,11.45
Payo,100,ID,1584215656,97,-3.75,103.64,69.75,1.66
Neuquén,0,AR,1584215314,20,-38.95,-68.06,73.4,8.05
Idritsa,46,RU,1584215660,65,56.33,28.9,23.67,8.05
Nicoya,20,CR,1584215662,39,10.15,-85.45,95.0,17.22
Santa Fé do Sul,97,BR,1584215664,79,-20.21,-50.93,80.01,3.98
Copperas Cove,75,US,1584215666,57,31.12,-97.9,82.0,13.87
Maceió,40,BR,1584215531,66,-9.67,-35.74,84.2,13.87
Lucapa,70,AO,1584215671,94,-8.42,20.74,66.33,1.99
Balikpapan,40,ID,1584215673,94,-1.27,116.83,78.8,4.7
Kenai,1,US,1584215119,78,60.55,-151.26,21.0,5.82
Loukhi,12,RU,1584215677,89,66.08,33.04,4.95,5.1
Kolokani,0,ML,1584215396,9,13.57,-8.03,84.51,6.06
Kjøllefjord,100,NO,1584215682,66,70.95,27.35,18.27,16.96
Bourail,100,NC,1584215684,87,-21.57,165.48,78.21,13.42
Härnösand,55,SE,1584215686,58,62.63,17.94,32.0,6.93
Tezu,100,IN,1584215688,69,27.92,96.17,65.79,2.66
Viedma,0,AR,1584215685,34,-40.81,-63.0,68.13,13.69
Medyn',100,RU,1584215692,79,54.97,35.86,26.6,31.32
Pritzwalk,0,DE,1584215694,69,53.15,12.17,39.99,4.0
Adendorf,0,DE,1584215697,69,53.28,10.44,42.8,8.05
Kaduna,100,NG,1584215564,13,10.52,7.44,74.25,8.16
Houma,20,US,1584215404,65,29.6,-90.72,82.99,16.11
Farsund,100,NO,1584215703,80,58.09,6.8,41.0,15.99
Grindavik,20,IS,1584215705,62,63.84,-22.43,28.4,10.29
Whyalla,34,AU,1584215183,67,-33.03,137.58,59.0,11.41
Vila Franca do Campo,20,PT,1584215152,72,37.72,-25.43,60.8,13.87
Klaksvík,100,FO,1584215712,74,62.23,-6.59,35.6,12.75
Dakar,28,SN,1584215652,61,14.69,-17.44,80.6,13.87
Flinders,98,AU,1584215172,62,-34.58,150.86,59.0,11.41
Soledar,50,UA,1584215718,62,48.68,38.09,40.77,11.54
Gazalkent,0,UZ,1584215720,61,41.56,69.77,48.2,6.93
Puerto Escondido,5,MX,1584215141,56,15.85,-97.07,85.41,6.51
Teknāf,67,BD,1584215725,65,20.86,92.31,66.87,2.19
Yining,0,CN,1584215727,67,29.04,114.56,45.81,0.89
Oodweyne,6,SO,1584215729,66,9.41,45.06,68.49,3.74
Ulaanbaatar,66,MN,1584215730,78,47.91,106.88,10.4,4.47
Daudnagar,0,IN,1584215733,92,25.03,84.4,62.55,6.64
Austin,20,US,1584215478,61,30.27,-97.74,82.99,14.99
Vestmannaeyjar,68,IS,1584215353,68,63.44,-20.27,28.89,18.34
Kununurra,0,AU,1584215740,88,-15.77,128.73,77.0,3.27
Tarbagatay,7,RU,1584215742,92,51.48,107.36,24.8,4.47
São Paulo de Olivença,97,BR,1584215744,56,-3.38,-68.87,92.43,2.19
